index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
6744,Park Avenue,chicago,il,60546.0,Public,2,False,True,False,False,True,False,41.846683,-87.82049
6745,Woodhaven Drive,chicago,il,60060.0,Public,6,False,False,False,False,False,False,42.2724265,-88.023362
6746,Constitution Court,atlanta,ga,30075.0,Homeowners Community,1,False,False,False,False,True,False,34.0286466,-84.3525016
6747,Ashmore Circle,atlanta,ga,30066.0,Homeowners Community,2,False,False,False,False,False,False,34.063299,-84.4623864
6748,Pierce Street,detroit,mi,48076.0,Public,1,False,False,False,False,False,False,42.4990154,-83.212249
6749,Barren Road,philadelphia,pa,19063.0,Public,8,False,False,False,False,False,False,39.9224498,-75.43039
6750,Cedar Pond Road,boston,ma,1566.0,Public,2,False,False,False,False,False,False,42.1179302,-72.0951176
6751,Mount Pleasant Avenue,providence,ri,2909.0,Public,6,False,False,False,False,False,False,41.839066,-71.4540052
6752,Sugar Maple Drive,providence,ri,2816.0,Public,4,False,False,False,False,False,False,41.6832409,-71.5937805
6753,Colony Road,charlotte,nc,28226.0,Homeowners Community,1,False,False,False,False,True,False,35.1455031,-80.8206546
6754,North Old Statesville Road,charlotte,nc,28078.0,Public,6,False,False,False,False,True,False,35.4121376,-80.8447516
6755,Pabis Lane,new york,ny,7621.0,Public,3,False,True,False,False,False,False,40.9336897,-73.9833283
6756,Haines Creek Lane,raleigh-durham-chapel hill,nc,27616.0,Homeowners Community,2,False,True,False,False,True,False,35.8915881,-78.549124
6757,Oak Tree Avenue,new york,ny,7080.0,Public,2,False,True,False,False,False,False,40.5779445,-74.3933845
6758,Wildwood Circle,louisville,ky,40291.0,Homeowners Community,1,False,True,False,False,True,False,38.1752208,-85.6252635
6759,East Park Place,oklahoma city,ok,73044.0,Public,2,False,True,False,False,True,False,35.8820005,-97.4120378
6760,Delcane Drive,columbus,oh,43235.0,Public,2,False,False,False,False,True,False,40.0689256,-83.089267
6761,Leafgold Drive,las vegas,nv,89134.0,Homeowners Community,4,False,False,False,False,True,False,36.210312,-115.323658
